Date,Total Scheduled ,Total Absent,Open Time,AUX01 Paid Break,AUX01 Unpaid Lunch,Meeting-Unavail-Paid,Client ACD - Coaching,Absent,Unconfirmed LOA,MIA,Late-Tardy-Sign Off,Holiday-Float-Pd,On Loan to Program C,VZN Training Mod 2L,Personal Off Phon-Pd,Sick-Paid,MTO,No Call No Show-Unp,Sick-Unpaid,Leave-Personal-Unp,Training-SITEL-Pd,Excessive Time Off,Idle,V - Back Office Work,Borrowed A - Signon,OJT/Mentor-Paid,Borrowed B - Signon,CapOne - Virtual 2,SHIFT - V - Back Office Work,Month,DayOfWeek,IsWeekend
2023-01-01,1384.416666649,141.166666664,1007.333333319,76.75,197,42.0,12.5,79.499999999,23.833333333,14.583333333,1.916666666,23.166666665999998,12.583333332999999,8.5,1.35,6.666666666999999,53.75,7.333333333,7.333333333,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
2023-01-02,4204.999999968,204.149999997,2694.383333314,248.5,553,175.833333333,60.0,71.999999999,40.333333333,7.716666666,10.016666666,56.333333333,32.999999998999996,8.5,0.0,22.55,146.7,8.0,43.533333333,49.0,68.0,4.066666667,60.533333334,295.049999998,120.6,21.333333333,0.0,0.0,0.0,1,0,0
2023-01-03,4653.4999999619995,155.733333332,2414.166666648,280.5,610,100.0,68.5,8.0,49.666666666,7.15,8.25,71.666666666,35.666666666,0.0,4.766666666,13.166666666000001,140.299999999,0.0,66.5,49.0,51.0,4.4,328.566666663,678.483333336,170.233333332,35.8,0.0,0.0,0.0,1,1,0
2023-01-04,4845.333333291,200.166666665,2303.616666648,289.5,628,78.333333333,63.25,31.833333333,46.999999998999996,5.816666666,9.283333333,47.666666666,31.583333333,8.5,0.0,15.066666667,125.5,8.0,80.016666667,49.5,68.0,6.316666667,419.216666664,658.233333336,94.916666668,34.833333333,0.0,0.0,0.0,1,2,0
2023-01-05,4677.249999957,194.949999997,2368.166666642,277.0,622,154.5,61.5,31.166666665999998,39.166666666,14.033333333,8.816666665,43.666666666,24.75,8.5,0.6,16.183333334,166.1,8.0,75.583333333,24.0,34.0,3.233333334,438.0,636.116666666,97.583333333,37.333333333,0.0,0.0,0.0,1,3,0
2023-01-06,4215.249999965,173.166666666,2093.916666651,249.75,591,87.166666667,35.5,47.833333333,48.166666666,1.95,1.9500000000000002,31.833333333,34.749999998999996,8.5,0.0,9.033333333,106.75,0.0,57.966666667,49.5,34.0,5.9,282.516666666,785.98333333,104.616666668,36.333333333,0.0,0.0,0.0,1,4,0
2023-01-07,2308.166666643,72.133333333,1065.349999987,141.75,321,18.0,13.0,16.5,0.0,15.133333333,3.349999999,16.5,30.833333333,0.0,1.85,3.566666667,36.5,8.0,23.833333333,17.0,0.0,2.983333333,36.899999999,628.233333324,57.433333334,15.5,0.0,0.0,0.0,1,5,1
2023-01-08,1418.499999984,105.999999999,1053.833333321,81.75,193,18.0,18.5,14.666666666,32.333333333,0.716666667,0.666666667,32.333333333,23.666666665999998,8.5,1.1666666669999999,6.25,40.0,0.0,51.366666666,25.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1
2023-01-09,4100.249999967,208.466666664,2467.933333315,242.5,540,147.0,54.0,15.833333332999999,47.666666666,4.966666667,5.233333332,65.333333333,44.166666666,8.5,0.7,22.05,133.25,24.5,83.416666666,49.5,78.0,5.716666668,23.899999999000002,273.016666664,129.283333334,21.333333333,0.0,0.0,0.0,1,0,0
2023-01-10,4848.91666663,161.733333332,2255.483333326,292.0,627,151.9,74.5,23.833333333,31.833333333,3.566666666,8.116666666,75.999999999,38.166666666,0.0,0.95,27.233333334,38.716666666,8.0,59.15,41.5,0.0,4.1166666670000005,153.933333335,868.81666666,184.099999999,35.5,0.0,0.0,0.0,1,1,0
